colorNameId,participantId,lang0,phaseNum,trialNum,tileNum,name,r,g,b,studyVersion,rgbSet,lab_l,lab_a,lab_b,locale
382,-1,English (text-davinci-003),0,-1,-1,Mint,90,254,165,1.1.5,full,-1,-1,-1,en
115,-1,Chinese (text-davinci-003),0,-1,-1,Mint Green,90,254,165,1.1.5,full,-1,-1,-1,en
,-1,Russian (text-davinci-003),0,-1,-1,зелено-голубой,90,254,165,1.1.5,full,-1,-1,-1,en
,-1,Korean (text-davinci-003),0,-1,-1,에메랄드 그린,90,254,165,1.1.5,full,-1,-1,-1,en
,-1,English (text-davinci-003),0,-1,-1,Lavender Purple,188,93,251,1.1.5,full,-1,-1,-1,en
,-1,Chinese (text-davinci-003),0,-1,-1,深洋红色,188,93,251,1.1.5,full,-1,-1,-1,en
11145,-1,Russian (text-davinci-003),0,-1,-1,пурпурный,188,93,251,1.1.5,full,-1,-1,-1,en
160,-1,Korean (text-davinci-003),0,-1,-1,보라색,188,93,251,1.1.5,full,-1,-1,-1,en
87,-1,English (text-davinci-003),0,-1,-1,Lime Green,105,232,57,1.1.5,full,-1,-1,-1,en
,-1,Chinese (text-davinci-003),0,-1,-1,绿钻石,105,232,57,1.1.5,full,-1,-1,-1,en
,-1,Russian (text-davinci-003),0,-1,-1,зеленовато-салатовый,105,232,57,1.1.5,full,-1,-1,-1,en
3286,-1,Korean (text-davinci-003),0,-1,-1,녹색,105,232,57,1.1.5,full,-1,-1,-1,en
8133,-1,English (text-davinci-003),0,-1,-1,olive,30,76,47,1.1.5,full,-1,-1,-1,en
19000,-1,Chinese (text-davinci-003),0,-1,-1,深绿色,30,76,47,1.1.5,full,-1,-1,-1,en
,-1,Russian (text-davinci-003),0,-1,-1,зеленовато-коричневый,30,76,47,1.1.5,full,-1,-1,-1,en
882,-1,Korean (text-davinci-003),0,-1,-1,초록색,30,76,47,1.1.5,full,-1,-1,-1,en
32975,-1,English (text-davinci-003),0,-1,-1,Olive Green,158,156,35,1.1.5,full,-1,-1,-1,en
19002,-1,Chinese (text-davinci-003),0,-1,-1,金黄色,158,156,35,1.1.5,full,-1,-1,-1,en
10772,-1,Russian (text-davinci-003),0,-1,-1,желто-зеленый,158,156,35,1.1.5,full,-1,-1,-1,en
3851,-1,Korean (text-davinci-003),0,-1,-1,노랑색,158,156,35,1.1.5,full,-1,-1,-1,en
52,-1,English (text-davinci-003),0,-1,-1,sky blue,128,197,225,1.1.5,full,-1,-1,-1,en
19823,-1,Chinese (text-davinci-003),0,-1,-1,天蓝色,128,197,225,1.1.5,full,-1,-1,-1,en
,-1,Russian (text-davinci-003),0,-1,-1,голубой серый,128,197,225,1.1.5,full,-1,-1,-1,en
168,-1,Korean (text-davinci-003),0,-1,-1,하늘색,128,197,225,1.1.5,full,-1,-1,-1,en
,-1,English (text-davinci-003),0,-1,-1,Lavender Gray,174,89,126,1.1.5,full,-1,-1,-1,en
51137,-1,Chinese (text-davinci-003),0,-1,-1,米色,174,89,126,1.1.5,full,-1,-1,-1,en
,-1,Russian (text-davinci-003),0,-1,-1,пурпурно-розовый,174,89,126,1.1.5,full,-1,-1,-1,en
68723,-1,Korean (text-davinci-003),0,-1,-1,고동색,174,89,126,1.1.5,full,-1,-1,-1,en
530,-1,English (text-davinci-003),0,-1,-1,Sky Blue,76,137,181,1.1.5,full,-1,-1,-1,en
,-1,Chinese (text-davinci-003),0,-1,-1,冰川蓝,76,137,181,1.1.5,full,-1,-1,-1,en
10801,-1,Russian (text-davinci-003),0,-1,-1,бирюзовый,76,137,181,1.1.5,full,-1,-1,-1,en
