lang,commonName,simplifiedName,numFullNames,numLineNames
English (text-davinci-003),Green,green,82,0
English (text-davinci-003),зелено-коричневый,lavenderpurple,64,0
English (text-davinci-003),Sky Blue,skyblue,46,0
English (text-davinci-003),Mint Green,mintgreen,39,0
English (text-davinci-003),зелено-коричневый,lavendergray,39,0
English (text-davinci-003),olive green,olivegreen,31,0
English (text-davinci-003),olive,olive,26,0
English (text-davinci-003),Steel Blue,steelblue,26,0
English (text-davinci-003),Spring Green,springgreen,24,0
English (text-davinci-003),Teal,teal,22,0
English (text-davinci-003),Royal Purple,royalpurple,21,0
English (text-davinci-003),Fuchsia,fuchsia,21,0
English (text-davinci-003),Plum,plum,20,0
English (text-davinci-003),Turquoise,turquoise,20,0
English (text-davinci-003),зелено-коричневый,lavenderblush,19,0
English (text-davinci-003),chartreuse,chartreuse,19,0
English (text-davinci-003),зелено-коричневый,lavenderblue,18,0
English (text-davinci-003),Royal Blue,royalblue,18,0
English (text-davinci-003),зелено-коричневый,greensheen,16,0
English (text-davinci-003),Midnight Blue,midnightblue,14,0
English (text-davinci-003),зелено-коричневый,purpleamethyst,14,0
English (text-davinci-003),burnt sienna,burntsienna,14,0
English (text-davinci-003),burnt orange,burntorange,14,0
English (text-davinci-003),зелено-коричневый,caribbeangreen,12,0
English (text-davinci-003),goldenrod,goldenrod,12,0
Russian (text-davinci-003),морская волна,морскаяволна,75,0
Russian (text-davinci-003),зелено-коричневый,зеленыймох,75,0
Russian (text-davinci-003),зелено-коричневый,лиловый,65,0
Russian (text-davinci-003),зелено-коричневый,фиолетоворозовый,57,0
Russian (text-davinci-003),бирюзовый,бирюзовый,51,0
Russian (text-davinci-003),пурпурный,пурпурный,41,0
Russian (text-davinci-003),бордовый,бордовый,36,0
Russian (text-davinci-003),голубой,голубой,36,0
Russian (text-davinci-003),зелено-коричневый,коричневый,30,0
Russian (text-davinci-003),зелено-коричневый,зеленыйморской,29,0
Russian (text-davinci-003),алый,алый,28,0
Russian (text-davinci-003),зелено-коричневый,небесносиний,28,0
Russian (text-davinci-003),зелено-коричневый,розоволиловый,21,0
Russian (text-davinci-003),небесно-голубой,небесноголубой,21,0
Russian (text-davinci-003),зелено-коричневый,зеленожелтый,20,0
Russian (text-davinci-003),зелено-коричневый,оранжевокоричневый,19,0
Russian (text-davinci-003),зелено-коричневый,зеленокоричневый,18,0
Russian (text-davinci-003),зелено-коричневый,зеленосерый,16,0
Russian (text-davinci-003),лазурный,лазурный,15,0
Russian (text-davinci-003),зелено-коричневый,баклажановый,15,0
Russian (text-davinci-003),зелено-коричневый,бледнозеленый,14,0
Russian (text-davinci-003),зелено-коричневый,бежевый,14,0
Russian (text-davinci-003),Фиолетовый,фиолетовый,12,0
Russian (text-davinci-003),зелено-коричневый,зеленоголубой,12,0
Korean (text-davinci-003),녹색,녹,99,0
Korean (text-davinci-003),보라색,보라,94,0
Korean (text-davinci-003),하늘색,하늘,79,0
Korean (text-davinci-003),초록색,초록,64,0
Korean (text-davinci-003),빨간색,빨강,48,0
Korean (text-davinci-003),갈색,갈,46,0
Korean (text-davinci-003),зелено-коричневый,라임컬러,38,0
Korean (text-davinci-003),зелено-коричневый,바이올렛보라,36,0
Korean (text-davinci-003),зелено-коричневый,다이아몬드블루,31,0
Korean (text-davinci-003),분홍색,분홍,31,0
Korean (text-davinci-003),파란색,파랑,28,0
Korean (text-davinci-003),노랑색,노랑,24,0
Korean (text-davinci-003),라임그린,라임그린,16,0
Korean (text-davinci-003),벽돌색,벽돌,15,0
Korean (text-davinci-003),зелено-коричневый,버들,15,0
Korean (text-davinci-003),회색,회,14,0
Korean (text-davinci-003),зелено-коричневый,바이올렛블루,13,0
Korean (text-davinci-003),밤색,밤,12,0
Korean (text-davinci-003),녹차색,녹차,12,0
Korean (text-davinci-003),зелено-коричневый,에메랄드초록,12,0
Chinese (text-davinci-003),紫罗兰色,紫罗蓝,83,0
Chinese (text-davinci-003),天蓝色,天蓝,53,0
Chinese (text-davinci-003),深紫色,深紫,52,0
Chinese (text-davinci-003),淡紫色,淡紫,44,0
Chinese (text-davinci-003),зелено-коричневый,绿松石绿,35,0
Chinese (text-davinci-003),浅绿色,浅绿,32,0
Chinese (text-davinci-003),зелено-коричневый,金,27,0
Chinese (text-davinci-003),зелено-коричневый,深宝石蓝,27,0
Chinese (text-davinci-003),米色,米,25,0
Chinese (text-davinci-003),薄荷绿,薄荷绿,24,0
Chinese (text-davinci-003),зелено-коричневый,苹果绿,23,0
Chinese (text-davinci-003),зелено-коричневый,深洋红,22,0
Chinese (text-davinci-003),绿色,绿,17,0
Chinese (text-davinci-003),深紫红色,深紫红,16,0
Chinese (text-davinci-003),深蓝色,深蓝,16,0
Chinese (text-davinci-003),зелено-коричневый,深天蓝,15,0
Chinese (text-davinci-003),深红色,深红,14,0
Chinese (text-davinci-003),зелено-коричневый,深宝蓝,13,0
Chinese (text-davinci-003),橘黄色,橘黄,13,0
Chinese (text-davinci-003),зелено-коричневый,绿松石,13,0
